R_mr,c_mr,theta0_mr,tw_mr,R_prop,c_prop,tw_prop,RPM_prop,span_wing,theta0_wing,AR_wing,l_rod,GW,Max_dBA
2.068,0.539,23.42964637,-10.03,4.196,0.316,-13.49,2387.675637,42.69684944,10.2303989,14.4545545,9.008397008,2980.934,70.470457
2.015,0.657,18.76087016,-13.54,3.442,0.421,-12.25,2525.175931,43.09954176,14.16707113,12.05773829,8.453088506,2593.804,85.752156
2.318,0.565,15.96524171,-0.38,4.139,0.351,-14.01,2439.960127,38.93548056,13.97350911,14.71913682,7.467269558,2852.817,65.176041
1.895,0.635,17.66777798,-11.6,4.043,0.299,-15.5,2232.967482,35.9833768,10.87354721,13.95202773,8.440351057,2411.155,92.878946
2.04,0.623,18.40399046,-14.54,3.812,0.402,-16.64,2514.382871,39.25917681,14.22491669,12.87664849,7.403812034,2249.484,88.215747
1.879,0.543,22.47612104,-13.01,3.824,0.427,-16.64,2275.796365,32.85302416,11.77292723,10.46477347,8.547204418,2756.288,80.424053
1.972,0.725,19.14470122,-12.36,3.933,0.303,-16.03,2310.911293,35.54765525,11.25537892,11.66783324,7.505310914,2414.209,85.697667
2.047,0.511,21.64048602,-11.27,3.933,0.432,-12.14,2006.193025,39.25475237,10.6083777,13.26857942,6.733197847,2906.726,77.444981
2.213,0.544,17.79137096,-1.58,4.193,0.347,-16.28,2357.955037,39.02881502,13.16792721,13.83749818,7.602715479,2764.388,64.970052
2.283,0.576,21.44950201,-13.26,4.096,0.419,-15.17,2489.653614,42.943938,12.45040777,14.28541902,7.463870285,2835.695,71.09785
